   8627 Dexamethasone,Dexamethasone
   7596 Prednisone,Prednisone
   7435 Anastrozole,Anastrozole
   7259 Eliquis,Apixaban
   7147 Ondansetron Hcl,Ondansetron Hcl
   6622 Gabapentin,Gabapentin
   6451 Letrozole,Letrozole
   6429 Prochlorperazine Maleate,Prochlorperazine Maleate
   6402 Hydroxyurea,Hydroxyurea
   5538 Oxycodone Hcl,Oxycodone Hcl
   5361 Revlimid,Lenalidomide
   5223 Hydrocodone-Acetaminophen,Hydrocodone/Acetaminophen
   5182 Acyclovir,Acyclovir
   5103 Xarelto,Rivaroxaban
   4741 Tamoxifen Citrate,Tamoxifen Citrate
   4274 Imbruvica,Ibrutinib
   4269 Potassium Chloride,Potassium Chloride
   3920 Levothyroxine Sodium,Levothyroxine Sodium
   3888 Ondansetron Odt,Ondansetron
   3407 Tamsulosin Hcl,Tamsulosin Hcl
   3400 Pantoprazole Sodium,Pantoprazole Sodium
   3307 Abiraterone Acetate,Abiraterone Acetate
   3213 Ibrance,Palbociclib
   3174 Lorazepam,Lorazepam
   3130 Exemestane,Exemestane
   3079 Imatinib Mesylate,Imatinib Mesylate
   2930 Tramadol Hcl,Tramadol Hcl
   2811 Xtandi,Enzalutamide
   2797 Omeprazole,Omeprazole
   2685 Oxycodone-Acetaminophen,Oxycodone Hcl/Acetaminophen
   2506 Jakafi,Ruxolitinib Phosphate
   2459 Sulfamethoxazole-Trimethoprim,Sulfamethoxazole/Trimethoprim
   2442 Morphine Sulfate Er,Morphine Sulfate
   2435 Allopurinol,Allopurinol
   2374 Warfarin Sodium,Warfarin Sodium
   2152 Furosemide,Furosemide
   2107 Lidocaine-Prilocaine,Lidocaine/Prilocaine
   1977 Pomalyst,Pomalidomide
   1819 Alprazolam,Alprazolam
   1797 Venclexta,Venetoclax
   1788 Alendronate Sodium,Alendronate Sodium
   1758 Calquence,Acalabrutinib
   1708 Levofloxacin,Levofloxacin
   1582 Fentanyl,Fentanyl
   1543 Tagrisso,Osimertinib Mesylate
   1532 Diphenoxylate-Atropine,Diphenoxylate Hcl/Atropine
   1519 Amlodipine Besylate,Amlodipine Besylate
   1475 Valacyclovir,Valacyclovir Hcl
   1402 Zolpidem Tartrate,Zolpidem Tartrate
   1399 Bicalutamide,Bicalutamide
   1364 Olanzapine,Olanzapine
   1340 Duloxetine Hcl,Duloxetine Hcl
   1335 Mirtazapine,Mirtazapine
   1313 Famotidine,Famotidine
   1285 Venlafaxine Hcl Er,Venlafaxine Hcl
   1177 Megestrol Acetate,Megestrol Acetate
   1162 Fluconazole,Fluconazole
   1129 Lidocaine Hcl Viscous,Lidocaine Hcl
   1129 Ciprofloxacin Hcl,Ciprofloxacin Hcl
   1086 Sprycel,Dasatinib
   1038 Enoxaparin Sodium,Enoxaparin Sodium
    940 Creon,Lipase/Protease/Amylase
    908 Promacta,Eltrombopag Olamine
    897 Cabometyx,Cabozantinib S-Malate
    893 Trazodone Hcl,Trazodone Hcl
    891 Methylprednisolone,Methylprednisolone
    859 Verzenio,Abemaciclib
    854 Promethazine Hcl,Promethazine Hcl
    848 Escitalopram Oxalate,Escitalopram Oxalate
    836 Erleada,Apalutamide
    818 Folic Acid,Folic Acid
    807 Nystatin,Nystatin
    794 Tasigna,Nilotinib Hcl
    790 Hydromorphone Hcl,Hydromorphone Hcl
    773 Loperamide,Loperamide Hcl
    738 Pregabalin,Pregabalin
    705 Lynparza,Olaparib
    704 Lisinopril,Lisinopril
    695 Ninlaro,Ixazomib Citrate
    650 Azithromycin,Azithromycin
    645 Sertraline Hcl,Sertraline Hcl
    618 Triamcinolone Acetonide,Triamcinolone Acetonide
    578 Morphine Sulfate,Morphine Sulfate
    575 Hydrocortisone,Hydrocortisone
    566 Inlyta,Axitinib
    563 Atorvastatin Calcium,Atorvastatin Calcium
    548 Albuterol Sulfate Hfa,Albuterol Sulfate
    541 Amoxicillin-Clavulanate Potass,Amoxicillin/Potassium Clav
    532 Lenvima,Lenvatinib Mesylate
    531 Lenalidomide,Lenalidomide
    526 Citalopram Hbr,Citalopram Hydrobromide
    512 Anagrelide Hcl,Anagrelide Hcl
    486 Brukinsa,Zanubrutinib
    481 Montelukast Sodium,Montelukast Sodium
    477 Temazepam,Temazepam
    460 Raloxifene Hcl,Raloxifene Hcl
    456 Oxycontin,Oxycodone Hcl
    450 Orgovyx,Relugolix
    414 Hydrochlorothiazide,Hydrochlorothiazide
    409 Losartan Potassium,Losartan Potassium
    407 Ibuprofen,Ibuprofen
    389 Everolimus,Everolimus
    383 Levetiracetam,Levetiracetam
    379 Doxycycline Hyclate,Doxycycline Hyclate
    377 Dronabinol,Dronabinol
    375 Metoprolol Succinate,Metoprolol Succinate
    374 Sucralfate,Sucralfate
    368 Procrit,Epoetin Alfa
    367 Cyclobenzaprine Hcl,Cyclobenzaprine Hcl
    366 Ssd,Silver Sulfadiazine
    348 Lactulose,Lactulose
